Kecamatan,Jumlah Pasar,Jumlah SWK,Kapasitas SWK,Resto Menengah Rendah,Resto Menengah Tinggi,Resto Rendah,Resto Tinggi,Hotel Menengah Rendah,Hotel Menengah Tinggi,Hotel Rendah,Hotel Tinggi,Jumlah Pedagang Pasar,Jumlah Pedagang SWK,Koperasi Aktif,Koperasi Tidak Aktif,Usaha Besar,Usaha Menengah,Usaha Kecil,Usaha Mikro,PMA Jumlah Proyek,PMA Nilai Investasi,PMDN Jumlah Proyek,PMDN Nilai Investasi
Asem Rowo,1,0,0,0,0,1,0,0,0,0,0,80.0,0.0,3.6,17.9,26.3,6.2,43.0,136.1,101.0,203481614522.0,1597.0,727817636547.0
Benowo,2,3,45,0,0,0,0,0,0,1,0,322.2,31.2,4.5,25.1,17.7,11.8,26.2,179.7,50.0,192349292887.0,1654.0,395571390836.0
Bubutan,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,18.0,35.1,7.5,1.8,20.6,205.9,5.0,251302985.0,1452.0,335393195259.0
Bulak,0,1,50,0,0,1,0,0,0,0,0,0.0,35.8,7.2,22.5,0.3,0.2,2.8,110.9,0.0,0.0,802.0,32453181585.0
Dukuh Pakis,0,0,0,2,1,5,2,0,0,0,0,0.0,0.0,12.6,24.9,34.8,14.6,59.5,233.1,64.0,63281360996.0,2302.0,1115594378189.0
Gayungan,1,2,56,0,0,0,0,1,0,1,0,113.3,39.1,49.3,50.1,10.7,4.2,63.1,159.1,18.0,125795484368.0,1525.0,452127164511.0
Genteng,1,5,122,3,1,4,0,0,0,1,1,322.3,106.4,29.7,49.2,22.6,16.4,47.0,186.8,89.0,174717921118.0,1966.0,1297299693491.0
Gubeng,0,5,198,3,0,4,0,0,0,0,0,0.0,168.7,35.9,71.4,16.1,10.2,77.5,401.2,30.0,61831237932.0,3207.0,748292639532.0
Gunung Anyar,1,1,25,0,0,1,0,0,0,0,0,71.3,9.6,14.4,18.6,14.0,3.6,40.9,164.3,4.0,12823962110.0,1338.0,532749048027.0
Jambangan,3,2,58,0,0,2,0,0,0,0,0,535.8,38.4,14.4,26.6,2.6,2.5,36.9,190.6,0.0,0.0,1494.0,167023674607.0
Karang Pilang,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,16.2,20.0,4.0,0.9,29.0,191.8,4.0,39760027130.0,1699.0,1282471768867.0
Kenjeran,1,1,15,0,0,0,0,0,0,0,0,352.2,8.1,7.2,33.1,1.5,1.1,27.1,296.2,18.0,4076714924.0,2127.0,164014389191.0
Krembangan,0,4,85,0,0,0,0,0,0,0,0,0.0,65.7,27.9,41.5,16.2,3.8,35.2,199.5,12.0,4187990175.0,1883.0,549740029208.0
Lakarsantri,0,2,32,1,0,4,0,0,0,0,0,0.0,22.6,9.9,18.3,17.8,3.4,41.2,162.0,22.0,19142333220.0,1432.0,522898642674.0
Mulyorejo,0,1,40,7,0,7,0,0,0,0,0,0.0,29.0,18.0,31.9,18.0,2.9,80.2,259.4,19.0,11713991702.0,2174.0,1833689481984.0
Pabean Cantian,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,21.6,36.3,16.1,4.4,32.3,151.4,14.0,1286657232.0,1619.0,2434586824989.0
Pakal,0,1,28,0,0,0,0,0,0,0,1,0.0,15.5,10.8,17.7,3.8,0.9,19.4,173.2,2.0,860000000.0,1602.0,125799527756.0
Rungkut,1,3,63,0,0,2,0,0,0,1,0,23.1,51.3,23.4,59.9,37.8,24.1,110.5,378.0,94.0,236001310635.0,3697.0,1581660664944.0
Sambikerep,0,1,24,3,0,4,0,0,0,0,0,0.0,19.9,2.7,14.4,10.9,5.4,42.5,193.1,25.0,25987505709.0,1587.0,252560038726.0
Sawahan,0,2,24,1,0,2,0,0,0,0,0,0.0,15.9,21.6,45.7,8.5,2.6,35.4,323.0,15.0,1642824326.0,2320.0,383354843595.0
Semampir,0,1,129,0,0,1,0,0,0,0,0,0.0,115.2,17.1,24.2,2.1,1.7,10.3,234.5,16.0,1445809455016.0,1284.0,2519271890657.0
Simokerto,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.2,23.6,2.5,0.3,16.9,134.2,12.0,3641770934.0,1029.0,151015379216.0
Sukolilo,1,4,122,0,0,1,0,0,0,0,0,29.8,94.0,29.8,44.7,14.5,11.3,84.5,357.0,14.0,33111228466.0,3209.0,539664117141.0
Sukomanunggal,0,1,10,0,0,3,1,0,0,0,0,0.0,7.4,14.4,38.7,19.4,4.8,48.8,267.2,118.0,39336891570.0,2215.0,799715260059.0
Tambaksari,0,3,63,0,0,3,0,0,0,0,0,0.0,54.5,22.5,38.7,9.1,15.6,66.3,387.3,11.0,22481771383.0,2942.0,399418631818.0
Tandes,0,2,42,1,0,2,0,0,0,0,0,0.0,24.7,23.4,27.8,14.7,3.4,41.4,190.9,40.0,269354987656.0,1592.0,2937847763805.0
Tegalsari,0,0,0,6,1,3,0,0,0,1,0,0.0,0.0,20.7,39.3,15.9,6.6,57.3,220.5,29.0,339017927660.0,1976.0,1031947396201.0
Tenggilis Mejoyo,1,0,0,0,1,1,0,0,0,0,0,129.4,0.0,13.5,27.1,7.4,2.2,40.6,143.8,18.0,20908700773.0,1378.0,699611414798.0
Wiyung,0,4,86,2,0,4,0,0,1,0,0,0.0,45.3,8.9,20.9,12.9,7.7,59.7,235.2,51.0,57177405919.0,1899.0,1611460151249.0
Wonocolo,0,1,15,1,0,2,0,0,0,0,0,0.0,13.3,24.7,46.7,11.6,9.2,81.7,267.6,16.0,4510801941.0,2416.0,314500853241.0
Wonokromo,0,2,71,2,0,1,0,0,0,0,0,0.0,63.7,36.0,72.8,14.2,5.6,50.7,365.8,36.0,36245005719.0,2825.0,497024995500.0
