Kecamatan,Penyakit_Tidak_Menular,Penyakit_Menular,Keracunan,Maternal_Perinal_Total,Pernafasan,Gangguan_Jiwa,Tidak_Terklasifikasi,Gejala_Eksternal,Total_Kunjungan,Total_RS,Total_Puskesmas_Layanan,Total_Klinik,Total_Faskes
Asemrowo,-21117,-2751,-1014,-717,-8070,-239,-4795,-57,-46093,0,1,2,6
Benowo,-15361,-1520,-946,-962,-4056,-228,-12604,-120,-56552,2,1,2,10
Bubutan,-21683,-3133,-983,-888,-12808,-258,-13390,-70,-82491,1,2,0,6
Bulak,-8467,-1094,-764,-1929,-3736,-111,-4661,-136,-38588,2,1,3,12
Dukuh Pakis,-11487,-943,-302,-189,-3202,-970,-3488,-62,-65776,1,1,3,10
Gayungan,-14617,-1728,-789,-1007,-4956,-229,-6253,-150,-50902,1,1,2,8
Genteng,-24933,-3397,-1515,-1553,-12043,-402,-8049,-268,-74819,1,2,1,8
Gubeng,-36789,-4257,-3670,-984,-14307,-681,-17978,-829,-110716,2,2,3,14
Gunung Anyar,-11691,-1348,-679,-818,-5213,-184,-6612,-53,-47230,0,1,4,10
Jambangan,-9977,-1266,-467,-1457,-3991,-180,-4002,-72,-50924,1,1,2,8
Karang Pilang,-19019,-3455,-855,-154,-6781,-345,-6728,-730,-59950,0,1,7,16
Kenjeran,-49007,-7212,-1890,-1117,-20541,-1217,-27474,-166,-214469,0,4,5,18
Krembangan,-33740,-6262,-1120,-2677,-18818,-1298,-13230,140,-133920,1,3,4,16
Lakarsantri,-28203,-4165,-3705,-2512,-11258,-601,-9556,-2306,-89021,0,3,3,12
Mulyorejo,-25006,-2725,-261,-2130,-8398,-303,-10145,-132,-77302,2,2,2,12
Pabean Cantian,-19418,-1701,-1030,-1766,-4477,-153,-5401,-303,-68346,4,1,2,14
Pakal,-14932,-1170,-759,-685,-3349,-190,-6229,-86,-50634,1,1,8,20
Rungkut,-37638,-5111,-1943,-2015,-13978,-774,-17352,-90,-119397,1,2,5,16
Sambikerep,-20462,-2606,-1706,-2510,-7054,-487,-7512,-226,-62479,2,2,2,12
Sawahan,-49189,-6096,-3133,-3796,-19226,-1703,-19137,-354,-201259,0,4,5,18
Semampir,-46078,-9160,-4064,-1941,-26222,-590,-16857,-2141,-188065,1,4,2,14
Simokerto,-22373,-3952,-1774,-331,-11298,-391,-9303,-1241,-91489,2,2,0,8
Sukolilo,-39581,-4265,-2263,-2065,-13099,-1234,-11525,-351,-122706,2,3,11,32
Sukomanunggal,-22961,-3447,-1110,-653,-10300,-493,-12859,-71,-109919,1,2,3,12
Tambaksari,-31747,-3989,-1647,-2771,-12450,-1207,-12735,-281,-170914,2,3,13,36
Tandes,-27947,-3391,-1587,-675,-11439,-1490,-12046,-127,-98314,1,2,6,18
Tegalsari,-25653,-3175,-1286,-1656,-9321,-964,-6242,-148,-98019,0,2,4,12
Tenggilis Mejoyo,-11009,-1938,-677,-438,-5763,-245,-4928,-8,-53653,2,1,3,12
Wiyung,-17506,-1973,-1173,-1261,-8743,-362,-11519,-60,-83838,1,2,5,16
Wonocolo,-31861,-5336,-3347,-1782,-14097,-553,-12310,-1233,-108155,1,3,0,8
Wonokromo,-39139,-4778,-2233,-1646,-15511,-1533,-18150,-168,-159186,5,3,8,32
