Kecamatan,SD_MI_RASIO MURID : GURU,SMP_MTS_RASIO MURID : GURU,Proporsi_A_SD_MI,Proporsi_A_SMP_MTS
Asemrowo,0.05260430163254729,0.0674682698730795,0.25,0.5
Benowo,0.05469798657718121,0.0590525632706035,0.7368421052631579,0.8333333333333334
Bubutan,0.05373095112979506,0.07377049180327869,0.5,0.625
Bulak,0.05283293860448169,0.05533244087460955,0.6666666666666666,0.8571428571428571
Dukuh Pakis,0.0580817730225449,0.06757557794902193,0.8636363636363636,0.6923076923076923
Gayungan,0.07147704139334993,0.0671604938271605,0.7857142857142857,0.8333333333333334
Genteng,0.05483234714003945,0.06099137931034483,0.6190476190476191,0.6666666666666666
Gubeng,0.0494944119212347,0.06304248515303791,0.7241379310344828,0.7692307692307693
Gunung Anyar,0.05960116513555905,0.07745664739884393,0.5882352941176471,0.6
Jambangan,0.058671268334771355,0.07293550331525016,0.9166666666666666,0.7
Karang Pilang,0.05534567434831886,0.0631768953068592,0.8666666666666667,0.6666666666666666
Kenjeran,0.04255954157464335,0.051400700350175084,0.475,0.5238095238095238
Krembangan,0.047974217311233885,0.06038152293867255,0.5789473684210527,0.7894736842105263
Lakarsantri,0.05926800472255018,0.06906636670416198,0.7096774193548387,0.7142857142857143
Mulyorejo,0.05905249110320285,0.06573233320173706,0.9565217391304348,0.8666666666666667
Pabean Cantian,0.0558659217877095,0.0673616680032077,0.5555555555555556,0.6666666666666666
Pakal,0.05631349782293179,0.06110335195530726,0.6190476190476191,0.6666666666666666
Rungkut,0.05727096708447977,0.058571428571428566,0.7931034482758621,0.7692307692307693
Sambikerep,0.05731895223420647,0.07817182817182818,0.6521739130434783,0.55
Sawahan,0.05108738631870304,0.05652067531196476,0.5609756097560976,0.6428571428571429
Semampir,0.055712936732766755,0.07310761268061247,0.30158730158730157,0.23076923076923078
Simokerto,0.05308703611249792,0.06956831965750981,0.5416666666666666,0.5833333333333334
Sukolilo,0.05644171779141105,0.06134504695546803,0.8484848484848485,0.7894736842105263
Sukomanunggal,0.0561618917689859,0.06353591160220995,0.6551724137931034,0.5555555555555556
Tambaksari,0.049819800720797114,0.06306306306306306,0.5652173913043478,0.5
Tandes,0.05427310967477172,0.07474554707379134,0.7419354838709677,0.5333333333333333
Tegalsari,0.06324414287543208,0.0677731673582296,0.5806451612903226,0.6666666666666666
Tenggilis Mejoyo,0.05617466454400728,0.06052631578947369,0.5789473684210527,1.0
Wiyung,0.05814843152257078,0.07244607244607244,0.75,0.5454545454545454
Wonocolo,0.05529225908372828,0.07452642073778663,0.75,0.8888888888888888
Wonokromo,0.061025054579478114,0.06045632902194449,0.46153846153846156,0.5714285714285714
