Kecamatan,Cabe besar_ton,Cabe Rawit_ton,Cabe Keriting_ton,Tomat_ton,Bayam_ton,Sawi_ton,Kangkung_ton,Bawang merah_ton,Melon_ton,Semangka_ton,Padi Sawah_ton,Jagung_ton,Ubi Kayu_ton,Kacang Hijau_ton,Mangga_ton,Jambu Air_ton,Jambu Biji_ton,Lemon_ton,Jerukpamelo_ton,Jeruk Siyam/Keprok_ton,Sirsat_ton,Blimbing_ton,Pepaya_ton,Sawo_ton,Nangka_ton,Pisang_ton,Cabe besar_Luas Panen,Cabe Rawit_Luas Panen,Cabe Keriting_Luas Panen,Tomat_Luas Panen,Bayam_Luas Panen,Sawi_Luas Panen,Kangkung_Luas Panen,Bawang merah_Luas Panen,Melon_Luas Panen,Semangka_Luas Panen,Padi Sawah_Luas Panen,Jagung_Luas Panen,Ubi Kayu_Luas Panen,Kacang hijau_Luas Panen,Mangga_Banyak Pohon,Jambu Air_Banyak Pohon,Jambu Biji_Banyak Pohon,Lemon_Banyak Pohon,Jerukpamelo_Banyak Pohon,Jeruk Siyam/Keprok_Banyak Pohon,Sirsat_Banyak Pohon,Blimbing_Banyak Pohon,Pepaya_Banyak Pohon,Sawo_Banyak Pohon,Nangka_Banyak Pohon,Pisang_Banyak Pohon
Asemrowo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1300000000000001,0.054,0.45,0.02,0.0,0.0,0.0,0.10500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,5,0.0,0,0.0,0,0,8,0,0,0,0
Benowo,0.05,0.05,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,721.87,44.6,0.0,1.1,2.25,4.08,1.9249999999999998,0.0,0.0,0.0,0.0,1.88,0.0,1.3,0.7,1.8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,0.0,1.0,170.0,100,115.0,0,0.0,0,0,80,0,40,4,90
Bubutan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.7,0.8200000000000001,0.0,0.0,0.0,1.2,1.42,1.6,1.55,1.2,1.75,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,150,150.0,0,0.0,0,200,400,100,20,15,200
Bulak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1073.53,0.0,0.0,0.0,13.1,1.04,0.504,0.0,0.0,0.0,0.0,0.952,7.6000000000000005,0.0,2.1,0.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,30,0,0,100
Dukuh Pakis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.068,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,3.48,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0,0.0,0,0,11,0,0,0,28
Gayungan,0.0,0.065,0.0,0.14,0.0,0.0,0.0,0.01,0.0,0.0,56.32,0.0,0.0,0.0,554.4,53.68,0.7599999999999999,0.0,0.0,0.0,51.970000000000006,1.85,0.0,0.0,0.24,0.32,0.0,0.1,0.0,0.3,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5778.0,2040,59.0,0,0.0,0,57,40,0,0,8,100
Genteng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.55,0.0,0.0,0.0,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,200.0,0,0.0,0,50,75,0,0,0,0
Gubeng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.3,1.33,3.6999999999999997,0.0,0.0,0.0,0.0,13.08,0.305,0.0,0.0,1.58,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,300,100.0,0,0.0,0,0,1500,5,0,0,50
Gunung Anyar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.536,0.0,0.0,0.0,0.847,0.605,0.185,0.0,0.0,4.27,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0
Jambangan,0.0,0.16999999999999998,0.0,0.0,0.0,0.0,0.10800000000000001,0.0,0.0,0.0,10.14,0.16,0.0,0.0,7415.0,105.0,0.9550000000000001,0.09,0.0,0.0,120.9,26.5,5.51,0.7,6.720000000000001,13.16,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7350.0,1840,170.0,2,0.0,0,200,325,150,10,35,150
Karang Pilang,0.0,4.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.982,6.73,24.56,0.0,0.12,0.22,0.30000000000000004,0.0,0.0,0.0,0.18000000000000002,0.34,1.7999999999999998,0.13,0.8400000000000001,2.222,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7,13.0,0,0.0,0,12,12,44,5,5,218
Kenjeran,0.0,0.0,0.0,0.0,0.0,1.2,2.26,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.3,15.17,0.725,0.0,0.0,0.0,0.0,0.21000000000000002,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0,0.4,1.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,100.0,40,40.0,0,0.0,0,0,140,0,0,0,100
Krembangan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3599999999999999,0.1,2.164,0.0,0.002,0.0,0.0,0.31,0.0,0.0,0.0,0.08399999999999999,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,15,13.0,0,0.0,0,0,20,0,0,0,11
